Title,Artist,Count
American Soldier,Toby Keith,26935164
When Someone Stops Loving You,Little Big Town,25778586
What Makes You Country,Luke Bryan,46066960
Smoke In Her Eyes,Big & Rich,1084263
Believe,Brooks & Dunn,2901872
Maybe It Was Memphis,Pam Tillis,7748816
Take A Back Road,Rodney Atkins,81768136
I Try to Think About Elvis,Patty Loveless,6320108
Follow That Dust,Taylor Ray Holbrook,6951129
Take You Home,Cassadee Pope,11983786
I Could Kick Your Ass,Justin Moore,14999803
What Do Ya Think About That,Montgomery Gentry,11285780
If I Were You (feat. Keith Urban),Jillian Jacqueline,8484938
Livin' Our Love Song,Jason Michael Carroll,10835579
Wanted,Alan Jackson,6394174
Texas Tornado,Tracy Lawrence,11338552
Midnight In Montgomery,Alan Jackson,6394174
No Such Thing as a Broken Heart,Old Dominion,95574833
Speechless,Dan + Shay,185242507
Fancy,Reba McEntire,29208750
Act Like You Don't,Brooke Eden,21871114
Why Can't She,Adam Craig,5950231
Third Rate Romance,Sammy Kershaw,4354347
The Old Days (feat. Justin Adams),Upchurch,12843801
Shoot Me Straight - Radio Edit,Brothers Osborne,18333259
Guys Like Me,Eric Church,24912539
It's Your Love,Tim McGraw,46543266
Same Old Train,Marty Stuart,11987177
Castaway,Brett Eldredge,11169537
Summer Love,Ryan Upchurch,5240372
Here In the Real World,Alan Jackson,9385276
American Country Love Song,Jake Owen,75228137
Fast as You,Dwight Yoakam,24957995
Holes In The Floor Of Heaven,Steve Wariner,9774879
I Got the Boy,Jana Kramer,51266302
I Was Wrong,Chris Stapleton,23454175
It's A Great Day To Be Alive,Travis Tritt,65023206
Small Town Boy,Dustin Lynch,183507031
"Million Reasons - Live Session at Sound Stage Studios, Nashville, TN",Dan + Shay,9838961
Where I'm From,Jason Michael Carroll,14926802
I Got You,Josh Mirenda,22073104
You Look Good,Lady Antebellum,50690833
Roots,Parmalee,7721555
Runnin' With An Angel,Riley Green,6577281
